Alimento;Unidad individual;Peso unitario individual;Porción comestible;Energía (kcal/100 g);Proteína (g/100 g);Lípidos totales (g/100 g);AG Saturados (g/100 g);Colesterol (g/100 g);Hidratos de Carbono ((g/100 g);Azúcar (g/100 g);Fibra (g/100 g);Na, Sodio [mg/100 g];Subgrupo
Pámpano;g;1;1;170;19.1;9.5;3.5;50;0;0;0;47;AOAB
Pámpano cocido;g;1;1;210.6;23.6;12.1;4.5;63.5;0;0;0;76.5;AOAB
Pámpano fileteado;g;1;1;170;19.1;9.5;3.5;50;0;0;0;47;AOAB
Pancita de puerco;g;1;1;157;16.5;9.6;3.4;193;0;0;0;52;AOAB
Pasta de anchoas;cucharadita;7;1;200;20;11.4;0;0;4.3;0;0;0;AOAB
Pasta de camarón;g;1;1;180;20.8;9.4;0;0;1.5;0;0;0;AOAB
Pasta de langosta;cucharadita;7;1;185.7;21.4;10;0;0;1.4;0;0;0;AOAB
Pastrami de pavo;rebanada;21;1;140.4;18.4;6.1;1.8;54.4;1.6;0;0;1045.6;AOAB
Pato de crianza;g;1;1;132;18.3;6;2.3;77;0;0;0;74;AOAB
Pavo;g;1;1;160;20.4;8;2.3;73;0;0;0;65;AOAB
Pavo entero;g;1;1;160;20.4;8;2.3;73;0;0;0;65;AOAB
Pechuga de pollo con piel;g;1;1;186;20.2;11.1;3.2;67;0;0;0;65;AOAB
Pescado blanco;g;1;1;134.1;19.1;5.9;0.9;60;0;0;0;50.6;AOAB
Pescado blanco cocido;g;1;1;171.8;24.5;7.5;1.2;76.5;0;0;0;64.7;AOAB
Pescado blanco fileteado;g;1;1;134;19.1;5.9;0.9;60;0;0;0;51;AOAB
Pescuezo de pollo sin piel;pieza;1;1;154;17.6;8.8;2.3;83;0;0;0;81;AOAB
Pescuezo de res;g;1;1;154;20.7;7.3;2.5;61;0;0;0;78;AOAB
Pierna de carnero;g;1;1;136;19;6.1;4;65;0;0;0;75;AOAB
Pierna de cerdo;g;1;1;140;19.8;6.2;2.1;65;0;0;0;82;AOAB
Pierna de cordero;g;1;1;191;28.3;7.7;2.8;89;0;0;0;68;AOAB
Pierna de pollo sin piel cocida;pieza;180;1;185;26.3;8.1;2.2;89;0;0;0;78;AOAB
Pierna de pollo sin piel cruda;pieza;230;1;120;20.1;3.8;1;80;0;0;0;86;AOAB
Pierna de puerco;g;1;1;140;19.8;6.2;2.1;65;0;0;0;82;AOAB
Pulpa de cerdo;g;1;1;140;19.8;6.2;2.1;65;0;0;0;82;AOAB
Pulpa de ternera;g;1;1;156;19.7;8;3.4;90;0;0;0;90;AOAB
Queso cheddar bajo en grasa;g;1;1;175;24.6;7.1;4.3;21.4;1.8;0;0;621.4;AOAB
Queso cottage cremoso;cucharada;18;1;103.6;12.5;4.6;2.9;14.3;2.9;0.7;0;403.6;AOAB
Queso de soya;rebanada;28;1;150;12.5;8.2;1.1;0;6.8;1.4;0;21.4;AOAB
Queso fresco;g;1;1;146;15.3;7;0;0;5;0;0;0;AOAB
Queso fresco de cabra;g;1;1;174;23.6;5;3.5;26;8.7;ND;ND;ND;AOAB
Queso fresco de vaca;g;1;1;146;15.3;7;0;0;5;0;0;0;AOAB
Queso Oaxaca Lala Light;g;1;1;213.3;26;11;ND;ND;2.7;ND;ND;633.3;AOAB
Queso panela;g;1;1;146;15.3;7;0;0;5;0;0;0;AOAB
Queso Panela Lala Light;g;1;1;173.3;19;9;ND;ND;4;ND;ND;600;AOAB
Queso ricotta reducido en grasa *;cucharada;15;1;137.9;11.4;7.9;4.9;30.6;5.2;0.3;0;125;AOAB
Recorte de cerdo cocido;gramos;1;1;235;26.1;13.7;4.7;83;0;0;0;55;AOAB
Retazo de carnero;g;1;1;111;14.2;5.6;3;65;0;0;0;75;AOAB
Rib eye sin grasa;g;1;1;225;28;11.7;4.7;80;0;0;0;69;AOAB
Salmón;g;1;1;183.5;19.9;10.8;2.2;58.8;0;0;0;58.8;AOAB
Salmón cocido;g;1;1;183.5;19.9;10.8;2.2;58.8;0;0;0;58.8;AOAB
Salmón fresco;g;1;1;183.5;19.9;10.8;2.2;58.8;0;0;0;58.8;AOAB
Short loin;g;1;1;214;28.6;10.2;3.9;76;0;0;0;68;AOAB
Sierra ahumada;g;1;1;169.4;24.2;7.2;2.1;68.2;0;0;0;42.4;AOAB
Sirloin;g;1;1;202;30.4;8;3.1;89;0;0;0;66;AOAB
Sustituto de huevo en polvo;cucharada;5;1;444;55.5;13;3.8;572;21.8;21.8;0;800;AOAB
Sustituto de huevo liquido;cucharada;15;1;85.1;11.9;3.4;0.6;0;0.6;0;0;176.6;AOAB
T-bone sin grasa;g;1;1;205;26.8;10.1;3.6;59;0;0;0;71;AOAB
Ternera;g;1;1;156;19.7;8;3.4;90;0;0;0;90;AOAB
Ternera en canal;g;1;1;156;19.7;8;3.4;90;0;0;0;90;AOAB
Trucha;g;1;1;168;18.3;10;1.7;48;0;0;0;70;AOAB
Trucha ahumada;g;1;1;169.4;24.2;7.2;2.1;68.2;0;0;0;42.4;AOAB
Trucha cocida;g;1;1;169.4;24.2;7.2;2.1;68.2;0;0;0;42.4;AOAB
Trucha fileteada;g;1;1;168;18.3;10;1.7;48;0;0;0;70;AOAB
Anguila;gramos;1;1;184;18.4;11.7;2.4;126;0;0;0;51;AOAM
Arenque marinado;filete;184;1;158;18;9;2;60;0;0;0;90;AOAM
Bistec de bola;g;1;1;284;28.7;17.9;6.7;96;0;0;0;50;AOAM
Bola de res;g;1;1;284;28.7;17.9;6.7;96;0;0;0;50;AOAM
Boquerones (fritos);g;1;1;176;19.2;10.3;0;0;0.3;0;0;0;AOAM
Carne de suadero;g;1;1;263;27;16.4;6.9;72;0;0;0;70;AOAM
Carne deshebrada;g;1;1;250;24.5;16.1;6.3;82;0;0;0;49;AOAM
Carne molida extra magra cocida;g;1;1;250;24.5;16.1;6.3;82;0;0;0;49;AOAM
Carne molida extra magra salteada;g;1;1;255;25;16.4;6.5;81;0;0;0;70;AOAM
Caviar;cucharadita;5.33;1;252;24.6;17.9;4.1;587.5;4;0;0;1500;AOAM
Caviar negro;cucharadita;5.33;1;252;24.6;17.9;4.1;587.5;4;0;0;1500;AOAM
Caviar rojo;cucharadita;5.33;1;252;24.6;17.9;4.1;587.5;4;0;0;1500;AOAM
Chicharrón;g;1;1;596;57.1;39;14.3;74;0;0;0.3;0;AOAM
Chicharrón de cerdo;g;1;1;596;57.1;39;14.3;74;0;0;0.3;0;AOAM
Chicharrón de puerco;g;1;1;596;57.1;39;14.3;74;0;0;0.3;0;AOAM
Costillar de cerdo;g;1;1;211;19.9;14;4.9;60;0;0;0;42;AOAM
Costillitas de cerdo;g;1;1;211;19.9;14;4.9;60;0;0;0;42;AOAM
Filete de salmón;g;1;1;183.5;19.9;10.8;2.2;58.8;0;0;0;58.8;AOAM
Gusanos de maguey;g;1;1;200;16.7;13.7;0;0;0;0;0;0;AOAM
"Huevo ""enriquecido con DHA-Omega 3 y Vitamina E""";pieza;62.5;1;127.3;10.9;8.2;0;363;1.2;0;0;127.3;AOAM
Huevo agra;pieza;62.5;1;127.3;10.9;8.2;0;363;1.2;0;0;127.3;AOAM
Huevo batido o revuelto cocido;cucharada;13.7;1;167;11.1;12.2;3.7;352;2.2;1.7;0;280;AOAM
Huevo blanco cocido;pieza;50;1;155;12.6;10.6;3.3;424;1.2;1.2;0;124;AOAM
Huevo cocido;pieza;50;1;155;12.6;10.6;3.3;424;1.2;1.2;0;124;AOAM
Huevo de codorniz fresco;pieza;9;1;158;13.1;11.1;3.6;844.4;0.4;0.4;0;141;AOAM
Huevo deshidratado;cucharada;5;1;605;48.4;43;13.5;1630;1.5;0.3;0;480;AOAM
Huevo en polvo;cucharada;5;1;605;48.4;43;13.5;1630;1.5;0.3;0;480;AOAM
Huevo entero cocido;pieza;50;1;155;12.6;10.6;3.3;424;1.2;1.2;0;124;AOAM
Huevo entero fresco;pieza;50;1;143;12.6;9.9;3;423;0.8;0.8;0;140;AOAM
Huevo fresco;pieza;50;1;143;12.6;9.9;3;423;0.8;0.8;0;140;AOAM
Huevo pochado;pieza;50;1;142;12.5;9.9;3.1;422;0.8;0.8;0;294;AOAM
Huevo rojo cocido;pieza;50;1;155;12.6;10.6;3.3;424;1.2;1.2;0;124;AOAM
Longaniza de primera;g;1;1;176;16.6;11.7;0;ND;0;0;0;0;AOAM
Macarela cocida;filete;88;1;262.4;23.9;17.8;4.2;75.3;0;0;0;83;AOAM
Macarela fresca;filete;112;1;204.7;18.6;13.9;3.3;70;0;0;0;90.6;AOAM
Muslo de pollo con piel cocido con hueso;pieza;130;1;232;23.3;14.7;4.1;84;0;0;0;71;AOAM
Muslo de pollo con piel crudo con hueso;pieza;130;1;211;17.3;15.3;4.4;84;0;0;0;76;AOAM
Orejas de cerdo;pieza;113;1;234;22.5;15.1;5.4;82;0.6;0;0;191;AOAM
Pata de cerdo cocida;g;1;1;140;11.6;10;2.9;83;0;0;0;560;AOAM
Pata de cerdo cocidas;g;1;1;140;11.6;10;2.9;83;0;0;0;560;AOAM
Patas de cerdo en escabeche;g;1;1;140;11.6;10;2.9;83;0;0;0;560;AOAM
Patitas de cerdo encurtidas sin hueso;g;1;1;140;11.6;10;2.9;83;0;0;0;560;AOAM
Pecho de res;g;1;1;208;17.5;14.8;5.9;71;0;0;0;71;AOAM
Pierna de pollo con piel cocida;pieza;180;1;220;24.2;12.9;3.6;84;0;0;0;73;AOAM
Pierna y muslo de pollo con piel;pieza;305;1;187;18.2;12.1;3.4;83;0;0;0;79;AOAM
Queso blanco;g;1;1;220;17.1;14.6;0;75;5.3;0;0;0;AOAM
Queso de soya;rebanada;28;1;150;12.5;8.2;1.1;0;6.8;1.4;0;21.4;AOAM
Queso holandés;g;1;1;374;33.5;26;0;85;8.1;0;0;0;AOAM
Queso Monterrey bajo en grasa;rebanada;28;1;314.3;28.2;21.4;13.9;64.3;0.7;0.7;0;564.3;AOAM
Queso Mozzarella reducido en grasa;rebanada;28;1;254;24.3;15.9;10.1;64;2.8;1.1;0;619;AOAM
Queso mozzarella semidescremado;g;1;1;254;24.3;15.9;10.1;64;2.8;1.1;0;619;AOAM
Queso Muenster bajo en grasa;rebanada;28;1;275;24.6;17.5;11.1;64.3;50.4;3.6;0;600;AOAM
Queso parmesano;cucharada;5;1;431;38.5;28.6;17.3;88;5;0.9;0;1529;AOAM
Queso parmesano duro;g;1;1;392;35.8;25.8;16.4;68;3.2;0.8;0;1602;AOAM
Queso parmesano en trozo;g;1;1;392;35.8;25.8;16.4;68;3.2;0.8;0;1602;AOAM
Queso parmesano rallado;cucharada;5;1;431;38.5;28.6;17.3;88;5;0.9;0;1529;AOAM
Queso ricotta semidescremado;g;1;1;137.9;11.4;7.9;4.9;30.6;5.1;0.3;0;125;AOAM
Queso Tipo Americano Lala Light;g;1;1;211.1;16.7;12.8;ND;ND;5.6;ND;ND;1600;AOAM
Requesón promedio;cucharada;12;1;180;15;12;6.3;25;3;ND;ND;390;AOAM
Sabritas chicharrón de cerdo;bolsa chica (30g);30;1;556.6;56.6;36.6;15;83.3;0;0;0;1733.3;AOAM
Salami de pavo;rebanada;7;1;172;19.3;9.2;2.8;76;1.6;1.1;0.1;1004;AOAM
Salchicha de pavo;pieza;62.5;1;196;23.9;10.4;2.3;92;1.6;0;0;665;AOAM
Salchicha vegetariana;pieza;25;1;257;18.5;18.2;2.9;0;9.8;0;2.8;888;AOAM
Salmón en aceite;g;1;1;203;21.7;13.9;4;80;0;0;0;473;AOAM
Sardinas en aceite;pieza;12;1;208;24.6;11.5;1.5;142;0;0;0;505;AOAM
Sardinas en tomate;pieza;38;1;186;20.9;10.5;2.7;61;0.7;0.4;0.1;414;AOAM
Sesos de cerdo cocidos;g;1;1;138;12.1;9.5;2.1;2552;0;0;0;91;AOAM
Sesos de cordero cocidos;g;1;1;145;12.6;10.2;2.6;2043;0;0;0;134;AOAM
Sesos de ternera cocidos;g;1;1;136;11.5;9.6;2.2;3100;0;0;0;156;AOAM
Sierra;g;1;1;208;19.4;13.9;3.6;80;0;0;0;0;AOAM
Sierra fileteada;g;1;1;208;19.4;13.9;3.6;80;0;0;0;0;AOAM
Sierra picada;g;1;1;208;19.4;13.9;3.6;80;0;0;0;0;AOAM
Suadero crudo;g;1;1;263;27;16.4;6.9;72;0;0;0;70;AOAM
Sustituto de queso mozzarella;rebanada;28;1;246.4;11.4;12.1;3.6;0;23.6;23.6;0;685.7;AOAM
Dedos Mozzarella;pieza;24;1;325;14.8;18.3;6.8;36;25.1;2.4;2;861;AOAM
Abulón fresco;g;1;1;104.7;17.1;0.8;0.1;84.7;6;0;0;301.2;AOAMB
Acociles;g;1;1;107;21;1.3;ND;ND;2.7;ND;ND;0;AOAMB
Aguayón;g;1;1;140;20.9;6.3;2.5;62;0;0;0;63;AOAMB
Aguayón de res;g;1;1;140;20.9;6.3;2.5;62;0;0;0;63;AOAMB
Ahuahutle seco;g;1;1;394;63.8;3.5;ND;ND;1.8;ND;ND;ND;AOAMB
Alce crudo;g;1;1;102;22.2;0.7;0.2;59;0;0;0;65;AOAMB
Almeja chirla;g;1;1;82;14;0.7;0.2;31;1.3;0;0;36;AOAMB
Almeja cocida;pieza;12.5;1;171;29.2;1.9;0.4;60;7.1;0;0;451;AOAMB
Almeja cruda mediana sin concha;pieza;14.5;1;74.1;12.8;1;0.1;34.1;2.6;0;0;56.5;AOAMB
Almeja fresca sin concha;pieza;14.5;1;74.1;12.8;1;0.1;34.1;2.6;0;0;56.5;AOAMB
Alón de pollo sin piel;pieza;55;1;126;22;3.5;0.9;57;0;0;0;81;AOAMB
Anchoa fresca;g;1;1;130.6;20.4;4.8;1.3;60;0;0;0;103.5;AOAMB
Anillos de calamar;taza;150;1;91.8;15.6;1.4;0.4;232.9;3.1;0;0;43.5;AOAMB
Armadillo;g;1;1;165;29;5.4;0;ND;0;0;0;ND;AOAMB
Arrachera de avestruz;g;1;1;89.4;20.4;1;ND;60;0;0;0;80;AOAMB
Atún blanco en agua (drenado);lata;100;1;128;23.6;3;0.8;42.4;0;0;0;377;AOAMB
Atún en agua drenado;lata;100;1;116;25.5;0.8;0.2;30;0;0;0;338;AOAMB
Atún fresco;g;1;1;143.5;23.3;4.9;1.3;37.6;0;0;0;38.8;AOAMB
Atún horneado;g;1;1;183.5;29.9;6.3;1.6;49.4;0;0;0;50;AOAMB
Atún light (drenado);lata;100;1;116;25.5;0.8;0.2;30;0;0;0;338;AOAMB
Bacalao enlatado;g;1;1;105;22.8;0.9;0.2;55;0;0;0;218;AOAMB
Bacalao fresco;g;1;1;82.4;17.8;0.7;0.1;43;0;0;0;54.1;AOAMB
Bacalao noruego;g;1;1;290.6;62.8;2.4;0.5;151.8;0;0;0;7027;AOAMB
Bacalao seco;g;1;1;290.6;62.8;2.4;0.5;151.8;0;0;0;7027;AOAMB
Bagre;g;1;1;95;17.6;2.7;0.6;75;0;0;0;60;AOAMB
Bagre fileteado;g;1;1;95;17.6;2.7;0.6;75;0;0;0;60;AOAMB
Bistec;g;1;1;119;24;2.5;1.2;47;0;0;0;60;AOAMB
Bistec de res;g;1;1;119;24;2.5;1.2;47;0;0;0;60;AOAMB
Bola de ternera;g;1;1;117;21;3.1;1.2;78;0;0;0;63;AOAMB
Boquerón crudo;g;1;1;114;17.7;4.8;1.3;ND;0;0;0;ND;AOAMB
Cabeza de pescado;g;1;1;100;20.5;1.3;0.2;36.5;0;0;0;63.5;AOAMB
Cabrilla;g;1;1;81;20.1;0.1;0;ND;0;0;0;ND;AOAMB
Cabrito;g;1;1;143;27.1;3;0.9;75;0;0;0;86;AOAMB
Calamar americano;g;1;1;91.8;15.6;1.4;0.4;232.9;3.1;0;0;43.5;AOAMB
Calamar cocido;gramos;1;1;183;31;2.8;0.7;464;6.1;0;0;427;AOAMB
Calamar crudo;g;1;1;91.8;15.6;1.4;0.4;232.9;3.1;0;0;43.5;AOAMB
Calamar fresco entero;g;1;1;91.8;15.6;1.4;0.4;232.9;3.1;0;0;43.5;AOAMB
Calamar fresco limpio;g;1;1;91.8;15.6;1.4;0.4;232.9;3.1;0;0;43.5;AOAMB
Camarón 16-20;pieza;25;1;105.9;20.4;1.8;0.4;151.8;0.9;0;0;148.2;AOAMB
Camarón cocido;pieza;6.8;1;99;20.9;1.1;0.3;195;0;0;0;224;AOAMB
Camarón crudo mediano;pieza;7.5;1;105.9;20.4;1.8;0.4;151.8;0.9;0;0;148.2;AOAMB
Camarón de surimi;g;1;1;101;12.4;1.5;0.3;36;9.1;ND;0;705;AOAMB
Camarón enlatado;taza;128;1;100;20.4;1.4;0.2;252;0;0;0;777;AOAMB
Camarón gigante;pieza;25;1;105.9;20.4;1.8;0.4;151.8;0.9;0;0;148.2;AOAMB
Camarón pacotilla;pieza;6;1;106;20.3;1.7;0.3;152;0.9;0;0;148;AOAMB
Camarón seco;g;1;1;372;83;2.2;ND;ND;5;ND;ND;2450;AOAMB
Camarón seco salado;g;1;1;372;83;2.2;ND;ND;5;ND;ND;2450;AOAMB
Camarón U15;pieza;25;1;105.9;20.4;1.8;0.4;151.8;0.9;0;0;148.2;AOAMB
Cangrejo;pieza;21;1;87.1;18.1;1.1;0.2;77.6;0;0;0;292.9;AOAMB
Cangrejo cocido;g;1;1;102.4;20.2;1.8;0.2;100;0;0;0;278.8;AOAMB
Cangrejo de Alaska;g;1;1;102.4;20.2;1.8;0.2;100;0;0;0;836.5;AOAMB
Cangrejo de Alaska cocido;g;1;1;102.4;20.2;1.8;0.2;100;0;0;0;1072;AOAMB
Cangrejo enlatado;taza;135;1;98.8;20.6;1.2;0.2;89.4;0;0;0;332.9;AOAMB
Carne de alce cocida;g;1;1;134;29.3;1;0.3;78;0;0;0;69;AOAMB
Carne de armadillo;g;1;1;165;29;5.4;0;ND;0;0;0;ND;AOAMB
Carne de avestruz;g;1;1;89.4;20.4;1;0;60;0;0;0;80;AOAMB
Carne de faisán cruda sin piel;g;1;1;133;23.6;3.6;1.2;66;0;0;0;37;AOAMB
Carne de jaiba;g;1;1;97;17.4;2.5;0.3;150;1.1;0;0;100;AOAMB
Carne de res seca;g;1;1;390;64.8;14.5;ND;ND;0.5;0;0;3471;AOAMB
Carne de venado cruda;g;1;1;157;21.8;7.1;3.4;80;0;0;0;75;AOAMB
Carne molida de pavo;g;1;1;109.5;22.4;1.4;0.5;42.9;0;0;0;1433.3;AOAMB
Carne molida de pollo;g;1;1;114;23.2;1.7;0.4;58;0;0;0;68;AOAMB
Carne obscura de pollo cruda;g;1;1;125;20.1;4.3;1.1;80;0;0;0;85;AOAMB
Cazón;g;1;1;130;21;4.5;0.9;50.6;0;0;0;78.8;AOAMB
Cazón fileteado;g;1;1;130;21;4.5;0.9;50.6;0;0;0;78.8;AOAMB
Cecina;g;1;1;161;23.9;6.5;3;70;0.8;0;0;1100;AOAMB
Cecina enchilada;g;1;1;161;23.9;6.5;3;70;0.8;0;0;1100;AOAMB
Chambarete;g;1;1;125;20.4;4.8;1.9;47;0;0;0;60;AOAMB
Chambarete de res;g;1;1;125;20.4;4.8;1.9;47;0;0;0;60;AOAMB
Charales frescos;g;1;1;159;25.3;5.9;ND;ND;1.3;ND;0;ND;AOAMB
Charales secos;g;1;1;318;68.3;3.9;ND;ND;2.5;ND;0;ND;AOAMB
Cherna;g;1;1;84;19.3;0.8;0.2;ND;0;0;0;ND;AOAMB
Chipirón (calamar) crudo;g;1;1;91.8;15.6;1.4;0.4;232.9;3.1;0;0;43.5;AOAMB
Chuleta ahumada;pieza;80;1;100;17.8;3;1.3;52.2;0.2;0.2;0;1343.5;AOAMB
Clara de huevo;pieza;33;1;48;10.9;0.2;0;0;0.7;0.7;0;166;AOAMB
Clara de huevo en polvo;cucharada;66.875;1;382;81.1;0;0;0;7.8;5.4;0;1280;AOAMB
Codorniz;gramos;1;1;134;21.8;4.5;1.3;70;0;0;0;51;AOAMB
Corazón de puerco cocido;g;1;1;148.1;23.6;5;1.3;220.9;0.4;0;0;34.9;AOAMB
Corazón de puerco crudo;g;1;1;118;17.3;4.4;1.2;131;1.3;0;0;56;AOAMB
Corazón de res cocido;g;1;1;165;28.5;4.7;1.4;212;0.2;0;0;59;AOAMB
Corazón de res crudo;g;1;1;112;17.7;3.9;1.4;124;0.1;0;0;98;AOAMB
Corazón de ternera cocido;g;1;1;186;29.1;6.8;1.8;176;0.1;0;0;58.1;AOAMB
Corazón de ternera crudo;g;1;1;110;17.2;4;1.1;104;0.1;0;0;77;AOAMB
Cuete;g;1;1;95;17;3;1.2;47;3;ND;ND;60;AOAMB
Cuete de res;g;1;1;95;17;3;1.2;47;3;ND;ND;60;AOAMB
Empuje;g;1;1;111;22.4;1.7;1;47;0;0;0;60;AOAMB
Empuje de res;g;1;1;111;22.4;1.7;1;47;0;0;0;60;AOAMB
Escalopa de res;g;1;1;112;24;1;1.2;47;0;0;0;60;AOAMB
Extraviado;g;1;1;84;19.3;0.8;0.2;ND;0;0;0;ND;AOAMB
Extraviado fileteado;g;1;1;84;19.3;0.8;0.2;ND;0;0;0;ND;AOAMB
Fajita de pollo sin piel cruda;g;1;1;119;20.6;3.4;0.9;77;0;0;0;88;AOAMB
Falda;g;1;1;105;22.4;1.7;1;47;0;0;0;60;AOAMB
Falda abierta;g;1;1;105;22.4;1.7;1;47;0;0;0;60;AOAMB
Falda de res;g;1;1;105;22.4;1.7;1;47;0;0;0;60;AOAMB
Filete de atún;gramos;1;1;109;24.4;0.5;0.2;39;0;0;0;45;AOAMB
Filete de bandera crudo;g;1;1;91;18.8;1.2;0.3;48;0;0;0;81;AOAMB
Filete de calamar crudo;g;1;1;91.8;15.6;1.4;0.4;232.9;3.1;0;0;43.5;AOAMB
Filete de cazón crudo;g;1;1;130.6;20.9;4.5;0.9;50.6;0;0;0;78.8;AOAMB
Filete de extraviado;g;1;1;84;19.3;0.8;0.2;ND;0;0;0;ND;AOAMB
Filete de lenguado;g;1;1;76;16.7;1;0.2;46;0;0;0;78;AOAMB
Filete de merluza;g;1;1;76;16.7;1;0.2;46;0;0;0;78;AOAMB
Filete de mero;g;1;1;84;19.3;0.8;0.2;ND;0;0;0;ND;AOAMB
Filete de mojarra;g;1;1;101;19.2;2.7;ND;ND;0;0;0;ND;AOAMB
Filete de pescado;g;1;1;91;18.8;1.2;0.3;48;0;0;0;81;AOAMB
Filete de pescado Blanco del Nilo;g;1;1;90;18;1.5;0.5;15;1;0;0;25;AOAMB
Filete de res;g;1;1;119;24;2.5;1.2;47;0;0;0;60;AOAMB
Filete de robalo;g;1;1;87.1;18.9;0.7;0.1;56.5;0;0;0;68.2;AOAMB
Filete de venado;g;1;1;126;21;4;3;112;0;0;0;90;AOAMB
Filete mignón;pieza;120;1;119;24;2.5;1.2;47;0;0;0;60;AOAMB
Filete miñón;pieza;120;1;119;24;2.5;1.2;47;0;0;0;60;AOAMB
Filete tampiqueña;pieza;120;1;119;24;2.5;1.2;47;0;0;0;60;AOAMB
Gallinita de guinea con piel;g;1;1;158;23.4;6.5;1.8;74;0;0;0;67;AOAMB
Gallinita de guinea sin piel;g;1;1;110;20.6;2.5;0.6;63;0;0;0;69;AOAMB
Guachinango;g;1;1;100;20.5;1.3;0.2;37;0;0;0;63.5;AOAMB
Guachinango cocido;g;1;1;128.2;26.3;1.7;0.4;47.1;0;0;0;57;AOAMB
Guachinango crudo fileteado;g;1;1;100;20.5;1.3;0.2;37;0;0;0;63.5;AOAMB
Gurrubata cruda;g;1;1;100;17.8;3.2;1.1;61;0;0;0;87;AOAMB
Halibut cocido;g;1;1;140;26.7;2.9;0.5;41.2;0;0;0;69.4;AOAMB
Huachinango  crudo fileteado;g;1;1;100;20.5;1.3;0.2;37;0;0;0;63.5;AOAMB
Huachinango cocido;g;1;1;128.2;26.3;1.7;0.4;47.1;0;0;0;57;AOAMB
Huachinango crudo;g;1;1;100;20.5;1.3;0.2;37;0;0;0;63.5;AOAMB
Hueva de pescado;cucharadita;5;1;143;22.3;6.4;;;1.5;0;0;91;AOAMB
Huevo de iguana;g;1;1;64;12.4;1.1;0;0;0;0;0;0;AOAMB
Iguana;g;1;1;116;24.4;0.9;ND;ND;0;0;0;ND;AOAMB
Isabelita;g;1;1;83;20.3;0.2;ND;ND;0;0;0;ND;AOAMB
Jaiba cocida desmenuzada;taza;140;1;83;17.3;1.3;0.2;78;0;0;0;41;AOAMB
Jaiba cocida entera;g;1;1;83;17.3;1.3;0.2;78;0;0;0;41;AOAMB
Jaiba cruda;g;1;1;97;17.4;2.5;0.3;150;1.1;0;0;100;AOAMB
Jugo de almeja;taza;240;1;2.1;0.4;0;0;2.9;0.1;0;0;215;AOAMB
Langosta;g;1;1;90;18.8;0.9;0.2;95;0.5;0;0;296.5;AOAMB
Langosta cocida;g;1;1;97.6;20.5;0.6;0.1;71.8;1.3;0;0;380;AOAMB
Langostino;g;1;1;68;14.6;1.1;0.3;158;0;0;0;366;AOAMB
Lenguado;g;1;1;76;16.7;1;0.2;46;0;0;0;78;AOAMB
Lenguado fileteado;g;1;1;76;16.7;1;0.2;46;0;0;0;78;AOAMB
Liebre;g;1;1;135;21;5;2;65;0;0;0;43;AOAMB
Lisa, churra, cabezuda;g;1;1;112;19.6;3.7;1.2;49;0;0;0;81;AOAMB
Lomo canadiense;rebanada;15;1;100;17.8;3;1.3;52.2;0.2;0.2;0;1343.5;AOAMB
Lomo de venado;g;1;1;116;20.2;3.3;1;80;0;0;0;91;AOAMB
Machaca;sobre;40;1;330;45;8.9;ND;160.7;0;0;0;1892.1;AOAMB
Machacado de res;g;1;1;330;45;8.9;ND;160.7;0;0;0;1892.1;AOAMB
Maciza de res;g;1;1;140;20.9;6.3;2.5;62;0;0;0;63;AOAMB
Maciza de res en trozo;g;1;1;140;20.9;6.3;2.5;62;0;0;0;63;AOAMB
Mantarraya cocida;gramos;1;1;164;26.4;5.7;1.2;64;0;0;0;422;AOAMB
Medallón de filete;pieza;120;1;119;24;2.5;1.2;47;0;0;0;60;AOAMB
Medallón de filete de res;g;1;1;119;24;2.5;1.2;47;0;0;0;60;AOAMB
Mejillones sin concha cocidos;g;1;1;171.8;23.8;4.5;0.8;56.5;7.4;0;0;369.4;AOAMB
Mejillones sin concha crudos;taza;150;1;86;11.9;2.2;0.4;28;3.7;0;0;286;AOAMB
Menudencias de  pollo crudas;g;1;1;124;17.9;4.5;1.4;262;1.8;0;0;77;AOAMB
Menudencias de pavo;g;1;1;167;26.6;5.1;1.5;418;2.1;0;0;59;AOAMB
Menudencias de pollo cocidas;g;1;1;158;27.2;4.5;1.3;442;0.4;0;0;67;AOAMB
Merluza;g;1;1;76;16.7;1;0.2;46;0;0;0;78;AOAMB
Merluza fileteada;g;1;1;76;16.7;1;0.2;46;0;0;0;78;AOAMB
Mero cocido;g;1;1;118;24.8;1.3;0.3;47;0;0;0;53;AOAMB
Mero crudo;g;1;1;84;19.3;0.8;0.2;ND;0;0;0;ND;AOAMB
Mero crudo fileteado;g;1;1;84;19.3;0.8;0.2;ND;0;0;0;ND;AOAMB
Milanesa de avestruz;g;1;1;89.4;20.4;1;ND;60;ND;ND;ND;ND;AOAMB
Milanesa de pollo;g;1;1;114;23.2;1.7;0.4;58;0;0;0;68;AOAMB
Milanesa de res;g;1;1;119;24;2.5;1.2;47;0;0;0;60;AOAMB
Mojarra cruda fileteada;g;1;1;96;20.1;1.7;0.8;50;0;0;0;52;AOAMB
Mojarra tilapia cruda;pieza;220;1;96;20.1;1.7;0.8;50;0;0;0;52;AOAMB
Molida de pollo;g;1;1;114;23.2;1.7;0.4;58;0;0;0;68;AOAMB
Molleja de pollo cocida;g;1;1;146;30.4;2.7;0.7;370;0;0;0;56;AOAMB
Pancita de res;g;1;1;94;14.6;4;2;95;0;0;0;46;AOAMB
